n_features,codebook_size,n_neighbors,dist_metric,mean_train_acc,mean_test_acc,mean_train_f1,mean_test_f1
200,32,8,euclidean,0.5865424885602751,0.45669401370357016,0.5849932865594609,0.4533558845239772
200,64,7,euclidean,0.6285419290386198,0.4822191669671836,0.6255460717668444,0.4719796699804124
200,96,8,euclidean,0.6136550521296908,0.4949490623873061,0.6118566094335802,0.4898948174810341
200,128,6,euclidean,0.6393261549597994,0.48645870897944465,0.6354275153319591,0.4784350156598064
200,160,8,euclidean,0.6251989256445578,0.4816669671835557,0.6230172218766368,0.472865013900298
200,192,8,euclidean,0.5857070839504075,0.464645690587811,0.5864937568632751,0.45716114527820373
200,224,6,euclidean,0.5831259902425332,0.43756310854670033,0.58291656023132,0.43034052315581095
300,32,8,manhattan,0.617529277940074,0.4928416877028489,0.6137467298084838,0.4811942189867855
300,64,8,euclidean,0.6383384053448167,0.5348336639019113,0.6379582800782493,0.5308294213584439
300,96,8,euclidean,0.6539834525625353,0.5380161377569419,0.6504057944569825,0.5291501387664097
300,128,8,euclidean,0.654060502203001,0.5327217814641183,0.6506844378030623,0.52180185041688
300,160,6,euclidean,0.6577047793859665,0.5162143887486477,0.657239271188289,0.5130855999915762
300,192,8,euclidean,0.6291490931317332,0.5071898665705012,0.6245869114999152,0.4959288101052344
300,224,8,euclidean,0.6024911639897033,0.48539938694554635,0.5977493821242549,0.47565802373782823
400,32,8,manhattan,0.6307437760140637,0.5343175261449693,0.6274924205339099,0.5260948948119979
400,64,7,euclidean,0.6615028788589452,0.5428304183195095,0.6618704984129028,0.5377617396778491
400,96,8,euclidean,0.6769201010462871,0.5662121348719797,0.6734374429232444,0.557913826266369
400,128,7,euclidean,0.6653761813662669,0.5380386765236206,0.6645120160248206,0.5297813116809785
400,160,7,euclidean,0.6671986892789742,0.5539916155787955,0.667567026901265,0.5495476738411113
400,192,7,euclidean,0.6545910321420262,0.5322011359538406,0.6527831371355937,0.5267022423885379
400,224,8,euclidean,0.6486675351870796,0.5391115218175262,0.6490548814224444,0.533282796181932
500,32,8,euclidean,0.6454778924315001,0.5284664623151821,0.6454387633326947,0.5249117392447051
500,64,8,euclidean,0.6577057026890278,0.5481495672556798,0.6552624803258961,0.5395976465464329
500,96,8,euclidean,0.6842869976769694,0.5773846015146051,0.682784990416732,0.5727158263351667
500,128,8,euclidean,0.6677294500437645,0.5614113775694194,0.6653455487409017,0.5523036298358686
500,160,7,euclidean,0.6682627037268205,0.5609155247024883,0.6687213392281608,0.5593701728017366
500,192,8,euclidean,0.6608956224355258,0.5497295347998558,0.659569578351745,0.5410697886675796
500,224,8,euclidean,0.6502628643815531,0.5470789758384422,0.649619667630862,0.5416120552925596
600,32,8,euclidean,0.6442624562816001,0.538034168770285,0.643014832627351,0.5310005989465135
600,64,7,euclidean,0.679654001410807,0.5715448070681572,0.6796394631009209,0.5664513141263986
600,96,7,euclidean,0.6744145335288274,0.5561102596465921,0.6721368718165639,0.548063417092894
600,128,8,euclidean,0.6671989201047395,0.5582491886043995,0.6674741734604472,0.5544229274254084
600,160,7,euclidean,0.6709960962746568,0.5529232780382257,0.6706650518478994,0.545866138571604
600,192,8,euclidean,0.6676550318170235,0.5571695816804905,0.6696626741419061,0.5537000364891453
600,224,5,euclidean,0.6777552286652362,0.5417598269022719,0.6782390528910682,0.5343698172048255
700,32,7,euclidean,0.6548198728057704,0.5364474395961053,0.6545812602108809,0.5333632730795854
700,64,8,euclidean,0.6797299892527524,0.5651573205914172,0.6804290010609492,0.5609429137492206
700,96,8,euclidean,0.6646923369539124,0.55930625676163,0.6644177830729114,0.5555376169559585
700,128,7,euclidean,0.6817802298655302,0.5662211503786513,0.6814302392905951,0.5606372350978451
700,160,8,euclidean,0.6675787669841597,0.5587743418680129,0.6656608695695656,0.5513553782338094
700,192,7,euclidean,0.6751733963149129,0.5555896141363145,0.6770401097016546,0.5517142858063159
700,224,8,euclidean,0.651022004158557,0.5492066354129101,0.6519695272047908,0.5444005762671524
